theta_deg	I
0.83225	1.9267187E-003
0.83375	1.8539350E-003
0.83525	1.9958087E-003
0.83675	2.3682101E-003
0.83825	2.9663506E-003
0.83975	3.7807904E-003
0.84125	4.8138555E-003
0.84275	5.9953611E-003
0.84425	7.3218867E-003
0.84575	8.7231118E-003
0.84725	1.0173452E-002
0.84875	1.1634191E-002
0.85025	1.2977817E-002
0.85175	1.4138390E-002
0.85325	1.5125624E-002
0.85475	1.5839234E-002
0.85625	1.6244195E-002
0.85775	1.6321221E-002
0.85925	1.6038293E-002
0.86075	1.5478325E-002
0.86225	1.4608475E-002
0.86375	1.3503722E-002
0.86525	1.2192382E-002
0.86675	1.0751071E-002
0.86825	9.3347961E-003
0.86975	8.0290670E-003
0.87125	6.9013275E-003
0.87275	6.1566620E-003
0.87425	5.9526754E-003
0.87575	6.4451974E-003
0.87725	7.7756909E-003
0.87875	1.0073990E-002
0.88025	1.3473897E-002
0.88175	1.8049972E-002
0.88325	2.3922751E-002
0.88475	3.1044619E-002
0.88625	3.9381374E-002
0.88775	4.8793476E-002
0.88925	5.9223305E-002
0.89075	7.0528738E-002
0.89225	8.2420267E-002
0.89375	9.4808973E-002
0.89525	1.0755298E-001
0.89675	1.2037320E-001
0.89825	1.3294947E-001
0.89975	1.4532821E-001
0.90125	1.5723710E-001
0.90275	1.6822939E-001
0.90425	1.7837669E-001
0.90575	1.8761940E-001
0.90725	1.9585097E-001
0.90875	2.0279415E-001
0.91025	2.0836909E-001
0.91175	2.1298020E-001
0.91325	2.1609144E-001
0.91475	2.1812445E-001
0.91625	2.1893917E-001
0.91775	2.1835484E-001
0.91925	2.1670091E-001
0.92075	2.1386290E-001
0.92225	2.1006185E-001
0.92375	2.0496947E-001
0.92525	1.9891663E-001
0.92675	1.9206949E-001
0.92825	1.8451011E-001
0.92975	1.7611288E-001
0.93125	1.6699986E-001
0.93275	1.5730728E-001
0.93425	1.4703847E-001
0.93575	1.3644393E-001
0.93725	1.2553415E-001
0.93875	1.1442736E-001
0.94025	1.0347668E-001
0.94175	9.2598654E-002
0.94325	8.2207397E-002
0.94475	7.2139695E-002
0.94625	6.2534697E-002
0.94775	5.3610194E-002
0.94925	4.5243483E-002
0.95075	3.7729237E-002
0.95225	3.0890295E-002
0.95375	2.4978802E-002
0.95525	1.9928398E-002
0.95675	1.5753454E-002
