theta_deg	I
0.87875	2.1280283E-001
0.88025	1.9088821E-001
0.88175	1.6919525E-001
0.88325	1.4831139E-001
0.88475	1.2847544E-001
0.88625	1.0963750E-001
0.88775	9.2577539E-002
0.88925	7.7244967E-002
0.89075	6.3775122E-002
0.89225	5.2277934E-002
0.89375	4.2772170E-002
0.89525	3.5439204E-002
0.89675	2.9964380E-002
0.89825	2.6132671E-002
0.89975	2.3957351E-002
0.90125	2.2908740E-002
0.90275	2.2776833E-002
0.90425	2.3258431E-002
0.90575	2.4201930E-002
0.90725	2.5248254E-002
0.90875	2.6204808E-002
0.91025	2.6974723E-002
0.91175	2.7467540E-002
0.91325	2.7443951E-002
0.91475	2.6962357E-002
0.91625	2.6093511E-002
0.91775	2.4750397E-002
0.91925	2.3097439E-002
0.92075	2.1178605E-002
0.92225	1.9177103E-002
0.92375	1.7072089E-002
0.92525	1.4979672E-002
0.92675	1.3044350E-002
0.92825	1.1253532E-002
0.92975	9.7386641E-003
0.93125	8.4447861E-003
0.93275	7.4813622E-003
0.93425	6.8651102E-003
0.93575	6.5859533E-003
0.93725	6.5483958E-003
0.93875	6.7123640E-003
0.94025	7.1000694E-003
0.94175	7.5871628E-003
0.94325	8.1058582E-003
0.94475	8.6160814E-003
0.94625	9.1260755E-003
0.94775	9.5288949E-003
0.94925	9.8314108E-003
0.95075	1.0029959E-002
0.95225	9.9896537E-003
0.95375	9.7899614E-003
0.95525	9.4210347E-003
0.95675	8.9176819E-003
0.95825	8.2945591E-003
0.95975	7.5834990E-003
0.96125	6.8644234E-003
0.96275	6.1169509E-003
0.96425	5.4015392E-003
0.96575	4.7365096E-003
0.96725	4.1644550E-003
0.96875	3.6716361E-003
0.97025	3.2905720E-003
0.97175	3.0501168E-003
0.97325	2.9230190E-003
0.97475	2.9069886E-003
0.97625	2.9630950E-003
0.97775	3.1144675E-003
0.97925	3.3153044E-003
0.98075	3.6001867E-003
0.98225	3.8630844E-003
0.98375	4.1145314E-003
0.98525	4.3588798E-003
0.98675	4.5688776E-003
0.98825	4.7442955E-003
0.98975	4.7603259E-003
0.99125	4.7603254E-003
0.99275	4.7033033E-003
0.99425	4.5349849E-003
0.99575	4.2803311E-003
0.99725	3.9798771E-003
0.99875	3.6711786E-003
1.00025	3.3189689E-003
1.00175	2.9649269E-003
1.00325	2.6461519E-003
1.00475	2.3397435E-003
1.00625	2.0578385E-003
1.00775	1.8540240E-003
1.00925	1.7053998E-003
1.01075	1.5977673E-003
1.01225	1.5597526E-003
1.01375	1.5712028E-003
1.01525	1.6541026E-003
1.01675	1.7516589E-003
1.01825	1.8755504E-003
1.01975	2.0191364E-003
1.02125	2.1373031E-003
1.02275	2.2705842E-003
1.02425	2.3766132E-003
1.02575	2.4602001E-003
1.02725	2.5181386E-003
1.02875	2.5396647E-003
1.03025	2.5126419E-003
