# specimen,CoC2,record_name,P2-02,instrument_id,Co-C(260914B),raw_file,XRR 1_Co-C(260914B).xrdml,role,"Co/C, baseline round 1",points,5302
two_theta_deg,intensity_counts
1.36150,635.0
1.36450,589.0
1.36750,583.0
1.37050,550.0
1.37350,587.0
1.37650,647.0
1.37950,672.0
1.38250,788.0
1.38550,874.0
1.38850,926.0
1.39150,1060.0
1.39450,1121.0
1.39750,1253.0
1.40050,1360.0
1.40350,1426.0
1.40650,1607.0
1.40950,1684.0
1.41250,1740.0
1.41550,1968.0
1.41850,1966.0
1.42150,2148.0
1.42450,2077.0
1.42750,2279.0
1.43050,2141.0
1.43350,2162.0
1.43650,2228.0
1.43950,2206.0
1.44250,2228.0
1.44550,2198.0
1.44850,2094.0
1.45150,2050.0
1.45450,1978.0
1.45750,1976.0
1.46050,1806.0
1.46350,1783.0
1.46650,1651.0
1.46950,1471.0
1.47250,1417.0
1.47550,1231.0
1.47850,1158.0
1.48150,1066.0
1.48450,972.0
1.48750,814.0
1.49050,746.0
1.49350,643.0
1.49650,530.0
1.49950,475.0
1.50250,425.0
1.50550,384.0
1.50850,333.0
1.51150,263.0
1.51450,279.0
1.51750,279.0
1.52050,226.0
1.52350,280.0
1.52650,313.0
1.52950,319.0
1.53250,394.0
1.53550,414.0
1.53850,475.0
1.54150,570.0
1.54450,668.0
1.54750,713.0
1.55050,758.0
1.55350,901.0
1.55650,902.0
1.55950,970.0
1.56250,1102.0
1.56550,1186.0
1.56850,1117.0
1.57150,1180.0
1.57450,1286.0
1.57750,1266.0
1.58050,1369.0
1.58350,1342.0
1.58650,1398.0
1.58950,1424.0
1.59250,1341.0
1.59550,1317.0
1.59850,1370.0
1.60150,1333.0
1.60450,1273.0
1.60750,1225.0
1.61050,1133.0
1.61350,1092.0
1.61650,995.0
1.61950,1010.0
1.62250,905.0
1.62550,870.0
1.62850,787.0
1.63150,708.0
1.63450,641.0
1.63750,578.0
1.64050,510.0
1.64350,433.0
1.64650,354.0
1.64950,299.0
1.65250,307.0
1.65550,205.0
1.65850,200.0
1.66150,159.0
1.66450,123.0
1.66750,111.0
1.67050,96.0
1.67350,106.0
1.67650,107.0
1.67950,124.0
1.68250,132.0
1.68550,163.0
1.68850,205.0
1.69150,228.0
1.69450,259.0
1.69750,304.0
1.70050,353.0
1.70350,417.0
1.70650,440.0
1.70950,515.0
1.71250,535.0
1.71550,568.0
1.71850,621.0
1.72150,709.0
1.72450,737.0
1.72750,732.0
1.73050,782.0
1.73350,801.0
1.73650,852.0
1.73950,814.0
1.74250,816.0
1.74550,879.0
1.74850,834.0
1.75150,860.0
1.75450,830.0
1.75750,820.0
1.76050,791.0
1.76350,761.0
1.76650,694.0
1.76950,734.0
1.77250,689.0
1.77550,596.0
1.77850,551.0
1.78150,498.0
1.78450,477.0
1.78750,426.0
1.79050,372.0
1.79350,332.0
1.79650,293.0
1.79950,265.0
1.80250,221.0
1.80550,194.0
1.80850,148.0
1.81150,118.0
1.81450,106.0
1.81750,83.0
1.82050,66.0
1.82350,52.0
1.82650,49.0
1.82950,57.0
1.83250,52.0
1.83550,50.0
1.83850,60.0
1.84150,68.0
1.84450,91.0
1.84750,107.0
1.85050,124.0
1.85350,159.0
1.85650,175.0
1.85950,197.0
1.86250,242.0
1.86550,272.0
1.86850,289.0
1.87150,315.0
1.87450,319.0
1.87750,375.0
1.88050,413.0
1.88350,435.0
1.88650,429.0
1.88950,429.0
1.89250,456.0
1.89550,470.0
1.89850,498.0
1.90150,487.0
1.90450,507.0
1.90750,536.0
1.91050,519.0
1.91350,507.0
1.91650,460.0
1.91950,488.0
1.92250,488.0
1.92550,388.0
1.92850,406.0
1.93150,428.0
1.93450,375.0
