# specimen,CoC3,record_name,P2-03,instrument_id,Co-C(260916A)-XRR,raw_file,XRR-1_Co-C(260916A)-XRR.xrdml,role,"Co/C, baseline round 2",points,3585
two_theta_deg,intensity_counts
0.75250,6925.0
0.75550,6641.0
0.75850,6079.0
0.76150,5787.0
0.76450,5646.0
0.76750,5429.0
0.77050,5265.0
0.77350,5411.0
0.77650,5441.0
0.77950,5620.0
0.78250,5693.0
0.78550,5916.0
0.78850,5920.0
0.79150,6056.0
0.79450,6076.0
0.79750,6146.0
0.80050,6144.0
0.80350,5960.0
0.80650,5750.0
0.80950,5586.0
0.81250,5307.0
0.81550,4869.0
0.81850,4621.0
0.82150,4302.0
0.82450,4001.0
0.82750,3727.0
0.83050,3441.0
0.83350,3332.0
0.83650,3147.0
0.83950,3013.0
0.84250,3060.0
0.84550,3001.0
0.84850,3129.0
0.85150,3261.0
0.85450,3327.0
0.85750,3425.0
0.86050,3645.0
0.86350,3726.0
0.86650,3858.0
0.86950,4008.0
0.87250,3987.0
0.87550,3948.0
0.87850,3864.0
0.88150,3696.0
0.88450,3581.0
0.88750,3467.0
0.89050,3216.0
0.89350,3012.0
0.89650,2692.0
0.89950,2468.0
0.90250,2242.0
0.90550,2106.0
0.90850,2027.0
0.91150,1784.0
0.91450,1820.0
0.91750,1685.0
0.92050,1712.0
0.92350,1742.0
0.92650,1800.0
0.92950,1953.0
0.93250,2065.0
0.93550,2234.0
0.93850,2284.0
0.94150,2348.0
0.94450,2515.0
0.94750,2577.0
0.95050,2684.0
0.95350,2606.0
0.95650,2574.0
0.95950,2443.0
0.96250,2466.0
0.96550,2188.0
0.96850,2187.0
0.97150,1942.0
0.97450,1796.0
0.97750,1656.0
0.98050,1421.0
0.98350,1357.0
0.98650,1183.0
0.98950,1166.0
0.99250,1032.0
0.99550,989.0
0.99850,987.0
1.00150,1056.0
1.00450,1119.0
1.00750,1154.0
1.01050,1287.0
1.01350,1361.0
1.01650,1507.0
1.01950,1645.0
1.02250,1725.0
1.02550,1731.0
1.02850,1814.0
1.03150,1877.0
1.03450,1852.0
1.03750,1813.0
