# fit,CoC4-expert-full-fit,stored_as,author-fit-P2-04-full-fit.xrcx,min_limit,1.600E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
0.942,7.236500E-03,5.950000E-03
0.943,7.731200E-03,6.545400E-03
0.945,8.217900E-03,7.182600E-03
0.946,8.704300E-03,7.802500E-03
0.948,9.088500E-03,8.352000E-03
0.949,9.377000E-03,8.787200E-03
0.951,9.566400E-03,9.074800E-03
0.952,9.528000E-03,9.193400E-03
0.954,9.337500E-03,9.133800E-03
0.955,8.985600E-03,8.898100E-03
0.957,8.505500E-03,8.499600E-03
0.958,7.911200E-03,7.960200E-03
0.960,7.233000E-03,7.309400E-03
0.961,6.547200E-03,6.581600E-03
0.963,5.834200E-03,5.813900E-03
0.964,5.151900E-03,5.044100E-03
0.966,4.517600E-03,4.308400E-03
0.967,3.972000E-03,3.639400E-03
0.969,3.501900E-03,3.064200E-03
0.970,3.138500E-03,2.603500E-03
0.972,2.909100E-03,2.270100E-03
0.973,2.787900E-03,2.069100E-03
0.975,2.772600E-03,1.997600E-03
0.976,2.826100E-03,2.045700E-03
0.978,2.970500E-03,2.197400E-03
0.979,3.162100E-03,2.431700E-03
0.981,3.433800E-03,2.724500E-03
0.982,3.684500E-03,3.049700E-03
0.984,3.924400E-03,3.380900E-03
0.985,4.157400E-03,3.693100E-03
0.987,4.357700E-03,3.963600E-03
0.988,4.525000E-03,4.173700E-03
0.990,4.540300E-03,4.309300E-03
0.991,4.540300E-03,4.361200E-03
0.993,4.485900E-03,4.326300E-03
0.994,4.325400E-03,4.206300E-03
0.996,4.082500E-03,4.008500E-03
0.997,3.795900E-03,3.744100E-03
0.999,3.501500E-03,3.427900E-03
1.000,3.165600E-03,3.077300E-03
1.002,2.827900E-03,2.710600E-03
1.003,2.523900E-03,2.346600E-03
1.005,2.231600E-03,2.003000E-03
1.006,1.962700E-03,1.695700E-03
1.008,1.768300E-03,1.437800E-03
1.009,1.626600E-03,1.239200E-03
1.011,1.523900E-03,1.106000E-03
1.012,1.487700E-03,1.040300E-03
1.014,1.498600E-03,1.040300E-03
1.015,1.577700E-03,1.100600E-03
1.017,1.670700E-03,1.212700E-03
1.018,1.788900E-03,1.365400E-03
1.020,1.925800E-03,1.545800E-03
1.021,2.038500E-03,1.739900E-03
1.023,2.165600E-03,1.933400E-03
1.024,2.266800E-03,2.112900E-03
1.026,2.346500E-03,2.266100E-03
1.027,2.401800E-03,2.383000E-03
1.029,2.422300E-03,2.456300E-03
1.030,2.396500E-03,2.481300E-03
1.032,2.345600E-03,2.456600E-03
