# fit,CoC5-expert,stored_as,author-fit-P2-05-Manual-2026-09-18.xrcx,min_limit,1.000E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
1.202,4.105500E-03,4.940200E-03
1.206,4.311500E-03,5.032900E-03
1.209,4.440400E-03,5.045200E-03
1.212,4.492900E-03,4.975700E-03
1.214,4.459300E-03,4.827200E-03
1.217,4.341200E-03,4.607000E-03
1.220,4.134700E-03,4.326100E-03
1.224,3.885000E-03,3.999000E-03
1.227,3.559900E-03,3.642300E-03
1.230,3.214400E-03,3.274200E-03
1.232,2.845200E-03,2.913500E-03
1.235,2.474300E-03,2.578800E-03
1.238,2.139700E-03,2.287300E-03
1.242,1.819400E-03,2.054100E-03
1.245,1.561600E-03,1.890600E-03
1.247,1.366000E-03,1.804200E-03
1.250,1.238900E-03,1.797800E-03
1.253,1.213600E-03,1.870300E-03
1.257,1.253200E-03,2.016500E-03
1.260,1.382400E-03,2.227800E-03
1.263,1.580000E-03,2.491600E-03
1.265,1.846300E-03,2.792300E-03
1.268,2.156700E-03,3.111600E-03
1.271,2.483200E-03,3.429900E-03
1.275,2.817300E-03,3.728500E-03
1.278,3.115500E-03,3.990400E-03
1.281,3.402400E-03,4.201200E-03
1.283,3.648000E-03,4.349700E-03
1.286,3.814600E-03,4.427600E-03
1.289,3.943200E-03,4.430000E-03
1.293,3.989200E-03,4.355500E-03
1.296,3.949400E-03,4.206900E-03
1.298,3.818600E-03,3.991300E-03
1.301,3.639100E-03,3.719600E-03
1.304,3.419100E-03,3.405600E-03
1.308,3.090500E-03,3.065600E-03
1.311,2.754700E-03,2.717100E-03
1.314,2.418200E-03,2.378000E-03
1.316,2.081900E-03,2.065600E-03
1.319,1.748600E-03,1.795700E-03
1.322,1.455700E-03,1.582200E-03
1.326,1.228100E-03,1.436000E-03
1.329,1.058700E-03,1.364100E-03
1.332,9.634900E-04,1.370000E-03
1.334,9.535600E-04,1.452800E-03
1.337,1.008300E-03,1.607400E-03
1.340,1.127300E-03,1.825500E-03
1.344,1.310900E-03,2.095300E-03
1.347,1.535700E-03,2.402100E-03
1.349,1.815600E-03,2.729100E-03
1.352,2.123300E-03,3.057800E-03
1.355,2.438200E-03,3.369800E-03
1.359,2.736100E-03,3.647900E-03
1.362,3.044600E-03,3.877400E-03
1.365,3.310500E-03,4.046100E-03
1.367,3.496500E-03,4.144800E-03
1.370,3.634700E-03,4.167700E-03
1.373,3.690900E-03,4.112500E-03
1.377,3.680900E-03,3.981500E-03
1.380,3.578400E-03,3.780900E-03
1.383,3.405300E-03,3.520600E-03
