theta_deg	I
0.94625	9.1099385E-003
0.94775	9.5120454E-003
0.94925	9.8140268E-003
0.95075	1.0012223E-002
0.95225	9.9719893E-003
0.95375	9.7726500E-003
0.95525	9.4043752E-003
0.95675	8.9019127E-003
0.95825	8.2798926E-003
0.95975	7.5700893E-003
0.96125	6.8522855E-003
0.96275	6.1061345E-003
0.96425	5.3919884E-003
0.96575	4.7281333E-003
0.96725	4.1570910E-003
0.96875	3.6651439E-003
0.97025	3.2847533E-003
0.97175	3.0447233E-003
0.97325	2.9178504E-003
0.97475	2.9018484E-003
0.97625	2.9578554E-003
0.97775	3.1089599E-003
0.97925	3.3094420E-003
0.98075	3.5938204E-003
0.98225	3.8562536E-003
0.98375	4.1072564E-003
0.98525	4.3511721E-003
0.98675	4.5607984E-003
0.98825	4.7359061E-003
0.98975	4.7519086E-003
0.99125	4.7519081E-003
0.99275	4.6949866E-003
0.99425	4.5269658E-003
0.99575	4.2727627E-003
0.99725	3.9728391E-003
0.99875	3.6646866E-003
1.00025	3.3130997E-003
1.00175	2.9596842E-003
1.00325	2.6414730E-003
1.00475	2.3356064E-003
1.00625	2.0541993E-003
1.00775	1.8507456E-003
1.00925	1.7023841E-003
1.01075	1.5949422E-003
1.01225	1.5569947E-003
1.01375	1.5684245E-003
1.01525	1.6511778E-003
1.01675	1.7485614E-003
1.01825	1.8722340E-003
1.01975	2.0155662E-003
1.02125	2.1335238E-003
1.02275	2.2665688E-003
1.02425	2.3724108E-003
1.02575	2.4558499E-003
1.02725	2.5136855E-003
1.02875	2.5351739E-003
1.03025	2.5081993E-003
1.03175	2.4549353E-003
1.03325	2.3591521E-003
1.03475	2.2359367E-003
1.03625	2.0793455E-003
1.03775	1.8960085E-003
1.03925	1.7330167E-003
1.04075	1.5414498E-003
1.04225	1.3793722E-003
1.04375	1.2275820E-003
1.04525	1.1032235E-003
1.04675	1.0250424E-003
1.04825	9.6309179E-004
1.04975	9.6903538E-004
1.05125	9.7246439E-004
1.05275	1.0129266E-003
1.05425	1.0906507E-003
1.05575	1.1736325E-003
1.05725	1.2717018E-003
1.05875	1.3571981E-003
1.06025	1.4477238E-003
1.06175	1.5158466E-003
1.06325	1.5633955E-003
1.06475	1.5803118E-003
1.06625	1.5937992E-003
1.06775	1.5828265E-003
1.06925	1.5567661E-003
1.07075	1.5259050E-003
1.07225	1.4644116E-003
1.07375	1.3871449E-003
1.07525	1.2961620E-003
1.07675	1.1912346E-003
1.07825	1.0881360E-003
1.07975	9.7520760E-004
1.08125	8.8239601E-004
1.08275	8.0467202E-004
1.08425	7.3654921E-004
1.08575	6.8900036E-004
1.08725	6.7254115E-004
1.08875	6.7436998E-004
1.09025	6.9402967E-004
1.09175	7.2169019E-004
1.09325	7.6923898E-004
1.09475	8.3576160E-004
1.09625	8.9062564E-004
1.09775	9.5051876E-004
1.09925	1.0049256E-003
1.10075	1.0586466E-003
1.10225	1.0995660E-003
1.10375	1.1155680E-003
1.10525	1.1093958E-003
1.10675	1.0879074E-003
1.10825	1.0597896E-003
1.10975	1.0188703E-003
1.11125	9.5851981E-004
1.11275	8.8673941E-004
1.11425	8.2158839E-004
1.11575	7.5735175E-004
1.11725	6.8054214E-004
1.11875	6.1264803E-004
1.12025	5.4749701E-004
1.12175	5.0543464E-004
1.12325	4.7571663E-004
1.12475	4.5262798E-004
1.12625	4.5171357E-004
1.12775	4.6565823E-004
1.12925	5.0040538E-004
1.13075	5.3492398E-004
1.13225	5.8361579E-004
1.13375	6.3367916E-004
1.13525	6.8397116E-004
1.13675	7.2626217E-004
1.13825	7.6809601E-004
1.13975	7.9689967E-004
1.14125	8.1130146E-004
1.14275	8.2456018E-004
1.14425	8.2204561E-004
1.14575	8.0170017E-004
1.14725	7.6306681E-004
1.14875	7.4020680E-004
1.15025	6.9105782E-004
1.15175	6.4213743E-004
1.15325	5.8155839E-004
1.15475	5.3446676E-004
1.15625	4.8897538E-004
1.15775	4.3251121E-004
1.15925	3.9867844E-004
1.16075	3.5935920E-004
1.16225	3.4152842E-004
1.16375	3.3238440E-004
1.16525	3.3078421E-004
1.16675	3.4267141E-004
1.16825	3.7581837E-004
1.16975	4.1285160E-004
1.17125	4.5468542E-004
1.17275	4.9926242E-004
1.17425	5.4521096E-004
1.17575	5.8018678E-004
