theta_deg	I
0.75275	1.6563417E-002
0.75425	1.8435745E-002
0.75575	2.0131927E-002
0.75725	2.1476543E-002
0.75875	2.2330964E-002
0.76025	2.2780284E-002
0.76175	2.2704283E-002
0.76325	2.2114431E-002
0.76475	2.1012880E-002
0.76625	1.9545659E-002
0.76775	1.7809324E-002
0.76925	1.5909990E-002
0.77075	1.3959273E-002
0.77225	1.2152194E-002
0.77375	1.0635977E-002
0.77525	9.4928415E-003
0.77675	9.0177087E-003
0.77825	9.1864429E-003
0.77975	1.0257402E-002
0.78125	1.2153150E-002
0.78275	1.4959966E-002
0.78425	1.8569821E-002
0.78575	2.2756385E-002
0.78725	2.7483804E-002
0.78875	3.2424893E-002
0.79025	3.7495993E-002
0.79175	4.2369679E-002
0.79325	4.6922874E-002
0.79475	5.0798494E-002
0.79625	5.3908601E-002
0.79775	5.5988383E-002
0.79925	5.6822490E-002
0.80075	5.6467097E-002
0.80225	5.4833293E-002
0.80375	5.2214328E-002
0.80525	4.8571970E-002
0.80675	4.4378474E-002
0.80825	4.0166818E-002
0.80975	3.6285218E-002
0.81125	3.3312295E-002
0.81275	3.1890724E-002
0.81425	3.2712650E-002
0.81575	3.6400657E-002
0.81725	4.3519750E-002
0.81875	5.4522831E-002
0.82025	6.9828153E-002
0.82175	8.9206278E-002
0.82325	1.1255179E-001
0.82475	1.3935037E-001
0.82625	1.6875695E-001
0.82775	2.0044835E-001
0.82925	2.3342387E-001
0.83075	2.6665494E-001
0.83225	2.9978606E-001
0.83375	3.3147508E-001
0.83525	3.6170956E-001
0.83675	3.8895002E-001
0.83825	4.1312203E-001
0.83975	4.3397641E-001
0.84125	4.5107618E-001
0.84275	4.6525916E-001
0.84425	4.7624958E-001
0.84575	4.8501083E-001
0.84725	4.9097672E-001
0.84875	4.9525270E-001
0.85025	4.9718550E-001
0.85175	4.9671778E-001
0.85325	4.9387655E-001
0.85475	4.8837116E-001
0.85625	4.8139048E-001
0.85775	4.7245786E-001
0.85925	4.6237445E-001
0.86075	4.5050475E-001
0.86225	4.3730548E-001
0.86375	4.2304838E-001
0.86525	4.0713176E-001
0.86675	3.8980374E-001
0.86825	3.7092128E-001
0.86975	3.5158527E-001
0.87125	3.3155325E-001
0.87275	3.1073847E-001
0.87425	2.8926435E-001
0.87575	2.6714465E-001
0.87725	2.4494107E-001
0.87875	2.2209077E-001
0.88025	1.9921964E-001
0.88175	1.7657989E-001
0.88325	1.5478452E-001
0.88475	1.3408282E-001
0.88625	1.1442268E-001
0.88775	9.6618138E-002
0.88925	8.0616370E-002
0.89075	6.6558629E-002
0.89225	5.4559633E-002
0.89375	4.4638980E-002
0.89525	3.6985967E-002
0.89675	3.1272192E-002
0.89825	2.7273245E-002
0.89975	2.5002984E-002
0.90125	2.3908602E-002
0.90275	2.3770941E-002
0.90425	2.4273558E-002
0.90575	2.5258237E-002
0.90725	2.6350228E-002
0.90875	2.7348531E-002
0.91025	2.8152049E-002
0.91175	2.8666377E-002
0.91325	2.8641760E-002
0.91475	2.8139144E-002
0.91625	2.7232379E-002
0.91775	2.5830641E-002
0.91925	2.4105540E-002
0.92075	2.2102959E-002
0.92225	2.0014098E-002
0.92375	1.7817212E-002
0.92525	1.5633469E-002
0.92675	1.3613679E-002
0.92825	1.1744699E-002
0.92975	1.0163714E-002
0.93125	8.8133635E-003
0.93275	7.8078904E-003
0.93425	7.1647414E-003
0.93575	6.8734009E-003
0.93725	6.8342048E-003
0.93875	7.0053288E-003
0.94025	7.4099563E-003
0.94175	7.9183094E-003
0.94325	8.4596435E-003
0.94475	8.9921355E-003
0.94625	9.5243892E-003
0.94775	9.9447900E-003
0.94925	1.0260509E-002
0.95075	1.0467722E-002
0.95225	1.0425658E-002
0.95375	1.0217250E-002
0.95525	9.8322211E-003
0.95675	9.3068993E-003
