theta_deg	I
1.03925	1.2875850E-003
1.04075	1.0865499E-003
1.04225	9.1140001E-004
1.04375	7.8368001E-004
1.04525	7.0618000E-004
1.04675	6.6913496E-004
1.04825	6.6742999E-004
1.04975	7.0385501E-004
1.05125	7.8259502E-004
1.05275	8.8194996E-004
1.05425	9.9773507E-004
1.05575	1.1135200E-003
1.05725	1.2443401E-003
1.05875	1.3647750E-003
1.06025	1.4580850E-003
1.06175	1.5599200E-003
1.06325	1.6115350E-003
1.06475	1.6512149E-003
1.06625	1.6561750E-003
1.06775	1.6419151E-003
1.06925	1.6017699E-003
1.07075	1.5214799E-003
1.07225	1.4371601E-003
1.07375	1.3244752E-003
1.07525	1.1939650E-003
1.07675	1.0577199E-003
1.07825	9.2240499E-004
1.07975	7.8569498E-004
1.08125	6.7068497E-004
1.08275	5.7070999E-004
1.08425	4.9677497E-004
1.08575	4.3353499E-004
1.08725	3.8796500E-004
1.08875	3.6425004E-004
1.09025	3.6394002E-004
1.09175	3.8796500E-004
1.09325	4.2361498E-004
1.09475	4.7817497E-004
1.09625	5.4466998E-004
1.09775	6.1597000E-004
1.09925	6.9471000E-004
1.10075	7.6167000E-004
1.10225	8.1964000E-004
1.10375	8.6877495E-004
1.10525	9.0768002E-004
1.10675	9.2550501E-004
1.10825	9.2426501E-004
1.10975	9.1403507E-004
1.11125	8.9744997E-004
1.11275	8.6025003E-004
1.11425	8.1065000E-004
1.11575	7.5717497E-004
1.11725	6.9610501E-004
1.11875	6.2712998E-004
1.12025	5.5428006E-004
1.12175	4.8778506E-004
1.12325	4.1989502E-004
1.12475	3.6363001E-004
1.12625	3.0922503E-004
1.12775	2.6954501E-004
1.12925	2.4102500E-004
1.13075	2.2645500E-004
1.13225	2.2660999E-004
1.13375	2.4056000E-004
1.13525	2.5962500E-004
1.13675	2.9589501E-004
1.13825	3.3417999E-004
1.13975	3.8083503E-004
1.14125	4.2795503E-004
1.14275	4.7368006E-004
1.14425	5.1723496E-004
1.14575	5.4342998E-004
1.14725	5.7086500E-004
1.14875	5.8233499E-004
1.15025	5.8310997E-004
1.15175	5.7256996E-004
1.15325	5.5939500E-004
1.15475	5.4947502E-004
1.15625	5.1893998E-004
1.15775	4.8298002E-004
1.15925	4.4562496E-004
1.16075	4.0191502E-004
1.16225	3.5603499E-004
1.16375	3.0317999E-004
1.16525	2.6272502E-004
1.16675	2.2614501E-004
1.16825	1.9499002E-004
1.16975	1.6832999E-004
1.17125	1.4926500E-004
1.17275	1.3934501E-004
1.17425	1.4151500E-004
1.17575	1.4709499E-004
1.17725	1.6120001E-004
1.17875	1.8754999E-004
1.18025	2.1684500E-004
1.18175	2.4458999E-004
