theta_deg	log10_I_minus_log10_R
1.12175	-6.8144321E-002
1.12325	-7.7837467E-002
1.12475	-7.7932596E-002
1.12625	-8.0025434E-002
1.12775	-6.7519426E-002
1.12925	-4.3624163E-002
1.13075	-3.4580231E-003
1.13225	5.1392555E-002
1.13375	1.1120510E-001
1.13525	1.5201712E-001
1.13675	1.9019961E-001
1.13825	2.0346475E-001
1.13975	2.0764446E-001
1.14125	2.0027328E-001
1.14275	1.8649006E-001
1.14425	1.7058778E-001
1.14575	1.4378238E-001
1.14725	1.2384939E-001
1.14875	9.8615885E-002
1.15025	7.2964191E-002
1.15175	4.6490192E-002
1.15325	2.5467634E-002
1.15475	1.4366865E-002
1.15625	-6.2654018E-003
1.15775	-2.5766373E-002
1.15925	-4.1576147E-002
1.16075	-5.9821367E-002
1.16225	-7.8469038E-002
1.16375	-1.0695004E-001
1.16525	-1.2071943E-001
1.16675	-1.3070607E-001
1.16825	-1.3408399E-001
1.16975	-1.3259959E-001
1.17125	-1.1777306E-001
1.17275	-8.3119392E-002
1.17425	-2.0354748E-002
1.17575	3.6964893E-002
1.17725	9.5526695E-002
1.17875	1.5569377E-001
1.18025	1.9106865E-001
1.18175	1.9968414E-001
1.18325	1.9230628E-001
1.18475	1.8551922E-001
1.18625	1.6510797E-001
1.18775	1.3857436E-001
1.18925	1.2089801E-001
1.19075	1.0557747E-001
1.19225	8.2149267E-002
1.19375	6.1136007E-002
1.19525	4.2607546E-002
1.19675	3.3443928E-002
1.19825	9.1447830E-003
1.19975	-1.1842489E-002
1.20125	-2.5823355E-002
1.20275	-4.7494650E-002
1.20425	-7.0843220E-002
1.20575	-1.0285807E-001
1.20725	-1.2216401E-001
1.20875	-1.4273500E-001
1.21025	-1.6787267E-001
1.21175	-1.7429376E-001
1.21325	-1.6010284E-001
1.21475	-1.3421464E-001
1.21625	-9.4117403E-002
1.21775	-3.5773993E-002
1.21925	2.4986029E-002
1.22075	6.8814516E-002
1.22225	1.0878158E-001
1.22375	1.3523221E-001
1.22525	1.5692186E-001
1.22675	1.5576530E-001
1.22825	1.5914488E-001
1.22975	1.6072083E-001
1.23125	1.4521885E-001
1.23275	1.3426924E-001
1.23425	1.0459900E-001
1.23575	8.4198236E-002
1.23725	6.3855171E-002
1.23875	3.4797430E-002
1.24025	1.5634537E-002
1.24175	-1.2476683E-002
1.24325	-2.9824972E-002
1.24475	-5.9707880E-002
1.24625	-9.4193220E-002
1.24775	-1.1524558E-001
1.24925	-1.4048672E-001
1.25075	-1.6603923E-001
1.25225	-1.8367481E-001
1.25375	-1.7028546E-001
1.25525	-1.7472053E-001
1.25675	-1.7374706E-001
1.25825	-1.2289715E-001
1.25975	-7.8929901E-002
1.26125	-3.4899712E-002
1.26275	2.5335312E-002
1.26425	9.3218803E-002
1.26575	1.4574933E-001
1.26725	1.6156650E-001
1.26875	1.7036700E-001
1.27025	1.8375063E-001
1.27175	1.7021441E-001
1.27325	1.5813112E-001
1.27475	1.3120890E-001
1.27625	1.0533762E-001
1.27775	8.5156918E-002
1.27925	5.5016041E-002
1.28075	3.6182404E-002
1.28225	1.5489817E-002
1.28375	-1.5289783E-003
1.28525	-1.8222809E-002
1.28675	-3.5694122E-002
1.28825	-5.5192947E-002
1.28975	-9.9814177E-002
1.29125	-1.4263201E-001
1.29275	-1.7536473E-001
1.29425	-2.1153140E-001
1.29575	-2.5848913E-001
1.29725	-2.8323460E-001
1.29875	-2.4493122E-001
1.30025	-2.1805573E-001
1.30175	-1.8117285E-001
1.30325	-1.2805748E-001
1.30475	-8.3694935E-002
1.30625	-1.3363838E-002
1.30775	4.9648762E-002
1.30925	7.8677654E-002
1.31075	1.0969496E-001
1.31225	1.3195944E-001
1.31375	1.4287829E-001
1.31525	1.2853694E-001
1.31675	1.0931087E-001
1.31825	9.2973709E-002
1.31975	6.6304684E-002
1.32125	4.1231632E-002
1.32275	2.3243427E-002
1.32425	4.8978329E-003
1.32575	-2.1662235E-002
1.32725	-4.1705132E-002
1.32875	-6.1053991E-002
1.33025	-9.0366840E-002
1.33175	-1.2115335E-001
1.33325	-1.4316559E-001
1.33475	-1.5563130E-001
1.33625	-1.8205237E-001
1.33775	-2.1502590E-001
1.33925	-2.3758268E-001
1.34075	-2.4796629E-001
1.34225	-2.4739313E-001
1.34375	-2.4614668E-001
1.34525	-2.0532942E-001
1.34675	-1.5484524E-001
1.34825	-6.8377018E-002
1.34975	6.5450668E-003
1.35125	4.3453217E-002
1.35275	6.9663525E-002
1.35425	1.0203934E-001
1.35575	1.2469006E-001
1.35725	1.1997247E-001
1.35875	1.0070324E-001
1.36025	1.0022402E-001
1.36175	9.3117952E-002
1.36325	7.9287767E-002
1.36475	7.1598768E-002
1.36625	6.1475039E-002
1.36775	5.0166130E-002
1.36925	3.0721903E-002
1.37075	1.1581659E-002
1.37225	4.0435791E-004
1.37375	-3.1872749E-002
1.37525	-5.7353735E-002
1.37675	-8.3664417E-002
1.37825	-1.0451889E-001
1.37975	-1.2735796E-001
1.38125	-1.7238092E-001
1.38275	-2.1717644E-001
1.38425	-2.3816633E-001
1.38575	-2.1916008E-001
1.38725	-2.1257257E-001
1.38875	-1.5660429E-001
1.39025	-8.0810547E-002
1.39175	-6.9584846E-003
1.39325	3.4973621E-002
1.39475	7.5469494E-002
1.39625	8.0371380E-002
1.39775	9.4048023E-002
1.39925	9.6794128E-002
1.40075	9.9943161E-002
1.40225	1.1006212E-001
1.40375	9.9778175E-002
1.40525	1.1296201E-001
1.40675	1.0041308E-001
1.40825	8.0765486E-002
1.40975	7.2278976E-002
1.41125	5.2048445E-002
1.41275	3.1642675E-002
1.41425	-1.0696888E-002
1.41575	-4.2489529E-002
1.41725	-6.4993858E-002
1.41875	-9.5444202E-002
1.42025	-1.3427258E-001
1.42175	-1.6720581E-001
1.42325	-1.8369102E-001
1.42475	-1.6264868E-001
1.42625	-1.7826653E-001
1.42775	-2.4260998E-001
1.42925	-2.4504519E-001
1.43075	-2.1521425E-001
1.43225	-1.2862539E-001
1.43375	-1.1601734E-001
1.43525	-4.5448780E-002
1.43675	-1.2192726E-003
1.43825	5.0815105E-002
1.43975	6.0645580E-002
1.44125	7.3334217E-002
1.44275	7.3174000E-002
1.44425	9.3740940E-002
1.44575	1.0662127E-001
1.44725	1.1107111E-001
1.44875	1.3143444E-001
1.45025	1.0719085E-001
1.45175	1.2000203E-001
1.45325	9.5009565E-002
1.45475	8.4254026E-002
1.45625	5.8213234E-002
1.45775	1.9737720E-002
1.45925	1.3868332E-002
1.46075	-2.9907703E-002
1.46225	-3.8806915E-002
1.46375	-7.8114510E-002
1.46525	-1.1100245E-001
1.46675	-1.4375877E-001
1.46825	-1.7295599E-001
1.46975	-2.0775461E-001
1.47125	-2.8068209E-001
1.47275	-2.4082804E-001
1.47425	-2.0748997E-001
1.47575	-1.5396261E-001
1.47725	-6.4133644E-002
1.47875	-1.3322353E-002
1.48025	5.3795815E-002
1.48175	6.1383724E-002
1.48325	8.6801529E-002
1.48475	9.2056751E-002
1.48625	1.0374260E-001
1.48775	1.0514402E-001
1.48925	1.0338879E-001
1.49075	1.2363482E-001
1.49225	1.0395765E-001
1.49375	1.0357285E-001
1.49525	9.6879482E-002
1.49675	1.0838199E-001
1.49825	9.4423294E-002
1.49975	6.8799973E-002
1.50125	7.2067261E-002
1.50275	5.4357052E-002
1.50425	2.4920464E-002
1.50575	-2.6172638E-002
1.50725	-4.6061516E-002
1.50875	-6.6587448E-002
1.51025	-1.0059452E-001
1.51175	-1.3037539E-001
1.51325	-1.8047428E-001
1.51475	-1.7805290E-001
1.51625	-1.6285610E-001
1.51775	-1.3641024E-001
1.51925	-1.2829590E-001
1.52075	-1.0124111E-001
1.52225	-4.6881199E-002
1.52375	-1.2311935E-002
1.52525	-1.2529373E-002
1.52675	2.4819374E-002
1.52825	2.6793003E-002
1.52975	3.9765358E-002
1.53125	5.7719707E-002
1.53275	7.5399876E-002
1.53425	9.2254162E-002
