theta_deg	log10_I_minus_log10_R
0.88025	1.0044813E-002
0.88175	9.6150637E-003
0.88325	9.5597506E-003
0.88475	9.8716617E-003
0.88625	9.3850493E-003
0.88775	1.0014892E-002
0.88925	1.0834336E-002
0.89075	1.1562705E-002
0.89225	1.1959314E-002
0.89375	1.1427999E-002
0.89525	1.1942148E-002
0.89675	1.1186004E-002
0.89825	7.8771114E-003
0.89975	5.9226751E-003
0.90125	1.1959076E-003
0.90275	-4.4749975E-003
0.90425	-1.0730982E-002
0.90575	-1.4901996E-002
0.90725	-1.8987656E-002
0.90875	-2.2698760E-002
0.91025	-2.5020480E-002
0.91175	-2.5664687E-002
0.91325	-2.7331829E-002
0.91475	-2.8643250E-002
0.91625	-2.8563857E-002
0.91775	-2.9129386E-002
0.91925	-2.8581858E-002
0.92075	-2.7437091E-002
0.92225	-2.3492217E-002
0.92375	-1.8802762E-002
0.92525	-1.2637019E-002
0.92675	-2.7966499E-003
0.92825	8.4421635E-003
0.92975	2.3826361E-002
0.93125	3.8646936E-002
0.93275	5.5251360E-002
0.93425	7.2273731E-002
0.93575	8.7094545E-002
0.93725	9.2828274E-002
0.93875	8.9203596E-002
0.94025	8.2766533E-002
0.94175	7.1709871E-002
0.94325	5.7949781E-002
0.94475	4.4007063E-002
0.94625	3.3502579E-002
0.94775	2.3480415E-002
0.94925	1.5903950E-002
0.95075	1.1536121E-002
0.95225	5.0456524E-003
0.95375	-7.2240829E-005
0.95525	-4.6825409E-003
0.95675	-8.0244541E-003
0.95825	-1.0543108E-002
0.95975	-1.2107849E-002
0.96125	-9.6766949E-003
0.96275	-5.9430599E-003
0.96425	1.4142990E-003
0.96575	1.2217045E-002
0.96725	2.8648376E-002
0.96875	4.7307968E-002
0.97025	6.8780661E-002
0.97175	9.3449831E-002
0.97325	1.1351538E-001
0.97475	1.2524080E-001
0.97625	1.2282491E-001
0.97775	1.1369777E-001
0.97925	9.7508192E-002
0.98075	8.4711552E-002
0.98225	6.7036390E-002
0.98375	5.0135612E-002
0.98525	3.7101746E-002
0.98675	2.6864767E-002
0.98825	2.0596027E-002
0.98975	7.7590942E-003
0.99125	1.9001961E-003
0.99275	-7.2050095E-004
0.99425	-5.4666996E-003
0.99575	-1.1032343E-002
0.99725	-1.4683247E-002
0.99875	-1.3430357E-002
1.00025	-1.2709618E-002
1.00175	-9.3121529E-003
1.00325	8.3804131E-004
1.00475	1.2777805E-002
1.00625	2.5899887E-002
1.00775	4.9136639E-002
1.00925	7.5359583E-002
1.01075	9.6357822E-002
1.01225	1.1497092E-001
1.01375	1.2287879E-001
1.01525	1.2655306E-001
1.01675	1.1488175E-001
1.01825	9.7476959E-002
1.01975	7.8662872E-002
1.02125	5.3761959E-002
1.02275	3.4941912E-002
1.02425	1.6111135E-002
1.02575	-3.3140182E-005
1.02725	-1.3055563E-002
1.02875	-2.4232626E-002
1.03025	-3.5411119E-002
1.03175	-4.2910337E-002
1.03325	-5.0023079E-002
1.03475	-5.4815292E-002
1.03625	-5.9544325E-002
1.03775	-6.4609051E-002
1.03925	-6.0600758E-002
1.04075	-6.0816765E-002
1.04225	-5.1603794E-002
1.04375	-3.9444447E-002
1.04525	-2.0232677E-002
1.04675	1.2260914E-002
1.04825	4.2726994E-002
1.04975	8.9170456E-002
1.05125	1.1433601E-001
1.05275	1.3225961E-001
1.05425	1.4265752E-001
1.05575	1.3632393E-001
1.05725	1.2349057E-001
1.05875	1.0083699E-001
1.06025	7.9396248E-002
1.06175	5.4352283E-002
1.06325	2.9036999E-002
1.06475	2.2685528E-003
1.06625	-1.7690659E-002
1.06775	-3.6322117E-002
1.06925	-5.1063299E-002
