group	session	job_id	measurement	state	chi2	started_utc	elapsed_s	files	source_in_record
agent-loop	all-fits	fit-20260916-141449-e572	P2-01/xrr.dat	finished	1.17544	2026-09-16T06:15:15.229Z	4.46	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-141449-e572
agent-loop	all-fits	fit-20260916-141539-e49e	P2-02/xrr.dat	finished	3.3692	2026-09-16T06:15:39.115Z	50.333	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-141539-e49e
agent-loop	all-fits	fit-20260916-141629-21e6	P2-02/xrr.dat	finished	3.9076	2026-09-16T06:16:29.453Z	53.588	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-141629-21e6
agent-loop	all-fits	fit-20260916-141839-403b	P2-02/xrr.dat	finished	2.56362	2026-09-16T06:18:39.979Z	72.446	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-141839-403b
agent-loop	all-fits	fit-20260916-141845-1763	P2-02/xrr.dat	finished	0.264308	2026-09-16T06:19:52.432Z	14.622	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-141845-1763
agent-loop	all-fits	fit-20260916-142030-f2d6	P2-02/xrr.dat	finished	4.94576	2026-09-16T06:20:30.525Z	37.289	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-142030-f2d6
agent-loop	all-fits	fit-20260916-142234-c3d5	P2-02/xrr.dat	finished	1.93709	2026-09-16T06:22:34.453Z	8.812	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-142234-c3d5
agent-loop	all-fits	fit-20260916-142326-7a33	P2-02/xrr.dat	finished	1.9929	2026-09-16T06:23:26.429Z	15.528	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-142326-7a33
agent-loop	all-fits	fit-20260916-142332-0cf1	P2-02/xrr.dat	finished	2.27686	2026-09-16T06:23:41.964Z	16.202	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-142332-0cf1
agent-loop	all-fits	fit-20260916-142408-3dfb	P2-01/xrr.dat	finished	0.950835	2026-09-16T06:24:08.608Z	2.83	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-142408-3dfb
agent-loop	all-fits	fit-20260917-134539-f2a7	P2-04/xrr.dat	cancelled	24.8746	2026-09-17T05:45:39.587Z	26.108	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-134539-f2a7
agent-loop	all-fits	fit-20260917-134544-fbbc	P2-03/xrr.dat	cancelled	0		0	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-134544-fbbc
agent-loop	all-fits	fit-20260917-134614-8258	P2-04/xrr.dat	finished	14.2197	2026-09-17T05:46:14.948Z	61.952	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-134614-8258
agent-loop	all-fits	fit-20260917-134619-ef9e	P2-03/xrr.dat	finished	4.03366	2026-09-17T05:47:16.908Z	29.385	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-134619-ef9e
agent-loop	all-fits	fit-20260917-134808-b160	P2-04/xrr.dat	finished	14.2139	2026-09-17T05:48:08.696Z	61.421	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-134808-b160
agent-loop	all-fits	fit-20260917-134940-be74	P2-03/xrr.dat	finished	3.83371	2026-09-17T05:49:40.915Z	29.177	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-134940-be74
agent-loop	all-fits	fit-20260917-135107-704f	P2-03/xrr.dat	finished	4.25927	2026-09-17T05:51:07.381Z	28.887	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-135107-704f
agent-loop	all-fits	fit-20260917-160610-32dc	P2-01/xrr.dat	finished	0.991533	2026-09-17T08:06:10.954Z	3.458	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160610-32dc
agent-loop	all-fits	fit-20260917-160616-ffaf	P2-02/xrr.dat	finished	2.60074	2026-09-17T08:06:16.994Z	25.488	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160616-ffaf
agent-loop	all-fits	fit-20260917-160622-a49a	P2-03/xrr.dat	finished	0.7246	2026-09-17T08:06:42.489Z	28.352	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160622-a49a
agent-loop	all-fits	fit-20260917-160627-0eb7	P2-04/xrr.dat	finished	1.90566	2026-09-17T08:07:10.848Z	63.397	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160627-0eb7
agent-loop	all-fits	fit-20260917-160707-ad4b	P2-01/xrr.dat	finished	1.03838	2026-09-17T08:08:14.250Z	3.376	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160707-ad4b
agent-loop	all-fits	fit-20260917-160750-347f	P2-02/xrr.dat	finished	3.0361	2026-09-17T08:08:17.633Z	23.368	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160750-347f
agent-loop	all-fits	fit-20260917-160911-e2fe	P2-04/xrr.dat	finished	1.33277	2026-09-17T08:09:11.634Z	60.828	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260917-160911-e2fe
agent-loop	all-fits	fit-20260918-143826-43f6	P2-06/xrr.dat	finished	0.673172	2026-09-18T06:38:26.056Z	3.753	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-143826-43f6
agent-loop	all-fits	fit-20260918-143832-f38e	P2-05/xrr.dat	finished	1.1921	2026-09-18T06:38:32.033Z	65.271	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-143832-f38e
agent-loop	all-fits	fit-20260918-143914-04b6	P2-06/xrr.dat	finished	1.10999	2026-09-18T06:39:37.310Z	2.135	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-143914-04b6
agent-loop	all-fits	fit-20260918-144033-1bcd	P2-05/xrr.dat	finished	0.804583	2026-09-18T06:40:33.036Z	55.547	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-144033-1bcd
agent-loop	all-fits	fit-20260918-144212-ce30	P2-05/xrr.dat	finished	3.47148	2026-09-18T06:42:12.294Z	54.793	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-144212-ce30
agent-loop	all-fits	fit-20260918-144637-1bcc	P2-05/xrr.dat	finished	3.46394	2026-09-18T06:46:37.240Z	59.318	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-144637-1bcc
agent-loop	all-fits	fit-20260918-145111-3149	P2-04/xrr.dat	finished	7.77353	2026-09-18T06:53:15.116Z	65.022	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-145111-3149
agent-loop	all-fits	fit-20260918-233419-5edd	P2-04/xrr.dat	finished	146496.0	2026-09-18T15:34:19.798Z	0.308	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-233419-5edd
agent-loop	all-fits	fit-20260918-233743-691e	P2-04/xrr.dat	finished	7.9401	2026-09-18T15:37:43.909Z	556.742	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-233743-691e
agent-loop	all-fits	fit-20260918-234800-7b64	P2-05/xrr.dat	finished	3.4858	2026-09-18T15:48:00.061Z	470.302	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260918-234800-7b64
agent-loop	all-fits	fit-20260919-065444-6416	P2-06/xrr.dat	finished	0.651372	2026-09-18T22:54:45.071Z	47.831	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260919-065444-6416
agent-loop	all-fits	fit-20260919-065608-44a2	P2-06/xrr.dat	finished	0.646107	2026-09-18T22:56:08.271Z	51.529	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260919-065608-44a2
agent-loop	all-fits	fit-20260919-065735-1db8	P2-05/xrr.dat	finished	2.56607	2026-09-18T22:57:35.591Z	1351.9	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260919-065735-1db8
agent-loop	all-fits	fit-20260919-072350-bdc8	P2-03/xrr.dat	finished	2.96329	2026-09-18T23:23:50.214Z	327.999	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260919-072350-bdc8
agent-loop	all-fits	fit-20260919-072952-b92a	P2-03/xrr.dat	finished	2.71938	2026-09-18T23:29:52.033Z	323.742	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260919-072952-b92a
agent-loop	all-fits	fit-20260919-073538-56ae	P2-03/xrr.dat	finished	2.58033	2026-09-18T23:35:38.106Z	305.318	request.json job.json report.json	experiments/runs/exp-03/workdir/jobs/fit-20260919-073538-56ae
